model,rmse,mae,accuracy,f1,precision,recall
LSTM,0.7734064924608285,0.585394775160427,0.528604118993135,0.5690376569037657,0.5862068965517241,0.5528455284552846
RandomForest,0.995074953023434,0.8103120126957252,0.47139588100686497,0.47619047619047616,0.5384615384615384,0.4268292682926829
XGBoost,1.085676881910376,0.8783960892265973,0.4965675057208238,0.45,0.5844155844155844,0.36585365853658536
LinearRegression,1.1570810554607358,0.8962801118032461,0.43249427917620137,0.32608695652173914,0.4918032786885246,0.24390243902439024
