Date,rsi_14,macd,macd_h,bbl,bbp,sma_50,ema_20,obv,close_norm,volume_norm,lagged_log_return,atr_14,next_day_return,next_day_direction
2018-03-14,52.29857267827383,7.812264098550713,6.8854197354592825,2672.0197470215167,0.6474738843317246,2747.03919921875,2738.068627675955,32260390000,0.13290873103680065,0.34026193502343505,-0.006383910414314703,39.80720279013509,-0.07819305319631642,0
2018-03-15,51.907177176457544,7.471960685903014,5.236093058249267,2676.1183250849317,0.612271940126838,2748.069599609375,2738.950670575864,28716680000,0.1323507308243981,0.35520502139022425,-0.005740969825188786,38.50383534753616,0.17034471678113622,1
2018-03-16,52.73637561503958,7.493518534096438,4.206120725154152,2676.6732752546127,0.6423746517128774,2748.8485986328124,2740.194417165365,34145820000,0.13356539197265432,0.5441917622577813,-0.0007822363990965508,36.79070564637287,-1.4204195388792975,0
2018-03-19,45.655554124765175,4.306714753980486,0.8154535560305605,2674.9067146502466,0.3197568214254573,2748.627197265625,2737.5968461853304,30818360000,0.12341968586222882,0.3335291263887608,0.0017019979472317418,38.26422109127481,0.14818054520649523,1
2018-03-20,46.45183115951523,2.0815371138869523,-1.127779267250379,2674.981366158109,0.3531857542048834,2748.102998046875,2735.629521920656,34090950000,0.12446306895301013,0.3280292125911641,-0.014306040541373417,36.54319971868376,-0.18439898833508586,0
2018-03-21,45.55595238201976,-0.08521580041133348,-2.635625745238932,2676.519818808621,0.30321190706535234,2747.3873974609373,2733.3724180844624,30656170000,0.12316273709306096,0.34428638443064313,0.0014807086617189258,36.02938927560813,-2.5162888405856463,0
2018-03-22,35.51016166428241,-7.225489061929693,-7.820719205405833,2662.285222215529,-0.13356224720540788,2745.2353955078124,2724.8312298293945,26890710000,0.10545126793920624,0.37743221083103123,-0.0018456921256294063,38.48013602377898,-2.0966880711866054,0
2018-03-23,29.767963335185186,-17.159139422634325,-14.203495652888373,2630.8227920943377,-0.2285293832332635,2742.03599609375,2711.824446966178,23061330000,0.09106460813633505,0.3838392545697297,-0.025484886972854417,40.85869982900012,2.7157255761512533,1
2018-03-26,42.47193294049995,-19.139185570079462,-12.946833440266808,2624.2919405728285,0.18299965470887491,2739.8557958984375,2706.750694762554,26599410000,0.10930816084498696,0.35464069635504164,-0.02118980731175066,43.16165681666082,-1.727630881384786,0
2018-03-27,37.676170768839896,-24.136319570662636,-14.355173952679984,2608.0382620543364,0.022183380400072773,2736.3833984375,2697.785877850644,22838090000,0.09738719537155109,0.3770172364712345,0.026795040706035392,45.697246480426124,-0.2916657166256187,0
2018-03-28,36.93109854719176,-28.384267870171698,-14.882497801751237,2592.706147322336,0.054319291610125886,2732.955,2688.949127579154,18962370000,0.09540941855693516,0.38848416080958087,-0.0174272856453219,45.26100342825283,1.3769718690019193,1
2018-03-29,42.677699679089514,-28.52753120246325,-12.02060890723423,2587.9332631680263,0.22798790083404752,2729.721201171875,2684.37017420852,22534730000,0.10471939166697716,0.3580767642424412,-0.0029209188994626773,45.89022235190441,-2.2337423560165086,0
2018-04-02,36.747661324532324,-33.020448165626476,-13.210820696317963,2570.8497936743984,0.043183882423973086,2725.3981982421874,2674.6091940755655,18898950000,0.08940866678376687,0.36443369030483574,0.013675777493843445,48.8316399238666,1.2614865848792194,1
2018-04-03,41.57469901107312,-33.56605630848935,-11.00514307134467,2560.9054572364757,0.20231342088767204,2721.4811962890626,2668.8797423704523,22294790000,0.0978621228746123,0.3403832198000906,-0.022590682343495868,48.46151581100112,1.1566482739828516,1
2018-04-04,45.71676916215972,-31.198701002195776,-6.910230212040872,2556.136952355927,0.33308741987142504,2717.715595703125,2666.575951802433,25664020000,0.10571081471072574,0.33771595706719376,0.012535961315741067,50.44640753878675,0.6862863657553784,1
